No.	A	->	B		C		D	Left side feats	Right side feats	Scope	Hits	Reliability	Confidence	examples	exceptions
107	o	->	o	/	X 	__	n	[]	[]	112	103	0.92	0.848	abandon, funsjon, relasjon, proporsjon, perdon, mensjon, reaksjon, impresjon, solusjon, kondisjon, refleksjon, okasjon, traisjon, rason, emosjon, kqstjon, ebolusjon, seleksjon, koron	son, reson, tron, atron, ason, konson, dison, retron, son
397	o	->	o	/	X 	__	g y	[]	[]	14	13	0.929	0.845	logr, aog, interrog, abog, djalog, drog, desaog, katalog, malogr, derog, prorrog, bog, abrog	rog
431	o	->	o	/	X rr	__	 y	[]	[]	14	13	0.929	0.845	desarroj, arrox, derrot, interrog, arrop, arroj, derroC, abarrot, emborron, prorrog, desarrop, aserrox, aporrot	derrok
268	o	->	o	/	X b	__	 y	[]	[]	52	45	0.865	0.826	probok, ekibok, bot, borr, elabor, konbok, abord, kolabor, debor, ebok, desbord, desembok, abog, inbok, esbos, bord, rebot, abon, korrobor	bol, bolk, rebolk, rebol, sirkunbol, rebolk, trasbol
246	o	->	o	/	d	__	 y	[]	[]	5	5	1.0	0.825	dot, dobl, don, dor, dom	
343	o	->	o	/	X ab	__	r y	[]	[]	5	5	1.0	0.825	elabor, abord, kolabor, abort, labor	
358	o	->	o	/	X b	__	r	[]	[]	5	5	1.0	0.825	elabor, kolabor, debor, korrobor, labor	
453	o	->	o	/	ad	__	 y	[]	[]	5	5	1.0	0.825	adopt, adorn, ador, ados, adob	
688	o	->	o	/	ab	__	 y	[]	[]	5	5	1.0	0.825	abord, abog, abon, abort, aboj	
885	o	->	o	/	X b	__	t	[]	[]	5	5	1.0	0.825	bot, rebot, bot, barbot, embot	
969	o	->	o	/	X k	__	p y	[]	[]	5	5	1.0	0.825	kopj, akopl, fotokopj, akopj, serokopj	
1003	o	->	o	/	X st	__	 y	[]	[]	5	5	1.0	0.825	trastorn, kustodj, estorb, trastok, estof	
1285	o	->	o	/	X ent	__	 y	[]	[]	5	5	1.0	0.825	enton, entorn, desenton, enbalenton, entort	
1380	o	->	o	/	X 	__	nd	[]	[]	5	5	1.0	0.825	rond, aond, mond, sond, eskamond	
1553	o	->	o	/	X Ng	__	 y	[]	[]	5	5	1.0	0.825	eNgord, akoNgox, eNgolf, aNgost, eNgom	
1821	o	->	o	/	X 	__	mb y	[]	[]	5	5	1.0	0.825	nombr, asombr, alfombr, komb, eskombr	
2297	o	->	o	/	X rem	__	 y	[]	[]	5	5	1.0	0.825	remont, remos, remolk, remox, tremol	
2690	o	->	o	/	X b	__	n	[]	[]	5	5	1.0	0.825	abon, xabon, eslabon, eNxabon, embon	
2709	o	->	o	/	X k	__	m y	[]	[]	5	5	1.0	0.825	kompr, komb, eNkomj, eskombr, sobrekompr	
484	o	->	o	/	X 	__	g	[]	[]	12	11	0.917	0.82	aog, interrog, abog, djalog, drog, desaog, katalog, derog, prorrog, bog, abrog	rog
673	o	->	o	/	X al	__	 y	[]	[]	12	11	0.917	0.82	balor, alox, eskalon, djalog, katalog, desalox, galop, malogr, aloNg, subalor, abalor	eskalofrj
481	o	->	o	/	X t	__	r y	[]	[]	11	10	0.909	0.805	otorg, torn, entorn, trastorn, estorb, torr, ator, kontorn, entort, ekspektor	exekutorj
1002	o	->	o	/	X 	__	d y	[]	[]	11	10	0.909	0.805	odj, akomod, kustodj, akod, parodj, apod, iNkomod, enlod, Capod, desakomod	rod
1699	o	->	o	/	X l	__	r y	[]	[]	11	10	0.909	0.805	balor, eksplor, aflor, implor, deplor, banaglorj, klor, subalor, abalor, deskolor	glorj
78	o	->	o	/	X 	__	r y	[]	[]	124	103	0.831	0.801	form, import, jor, kort, inform, transform, ignor, soport, iNkorpor, mexor, aport, enamor, konform, komport, borr, elabor, balor, abord, transport	rekord, akord, fors, esfors, refors, almors, koNkord, porfj, desafor, desakord, agor, diskord, glorj, akorn, alfors, deskorn, deseNkord, exekutorj, empork
329	o	->	o	/	X 	__	s	[]	[]	27	23	0.852	0.791	gos, ros, pos, destros, repos, akos, esbos, espos, rebos, sojos, ados, retos, alboros, endos, remos, embos, glos, despos, endjos	os, eNgros, deseNgros, desos
218	o	->	o	/	X nsj	__	n	[]	[]	4	4	1.0	0.786	funsjon, mensjon, sansjon, subensjon	
321	o	->	o	/	X ol	__	 y	[]	[]	4	4	1.0	0.786	kolok, proloNg, atolondr, deskolor	
381	o	->	o	/	X 	__	mbr	[]	[]	4	4	1.0	0.786	nombr, asombr, alfombr, eskombr	
394	o	->	o	/	X g	__	s y	[]	[]	4	4	1.0	0.786	gos, negosj, agost, aNgost	
436	o	->	o	/	X l	__	t	[]	[]	4	4	1.0	0.786	flot, eksplot, pilot, komplot	
555	o	->	o	/	X b	__	rd	[]	[]	4	4	1.0	0.786	abord, desbord, bord, transbord	
564	o	->	o	/	X n	__	t	[]	[]	4	4	1.0	0.786	not, anot, denot, konnot	
574	o	->	o	/	X 	__	p	[]	[]	4	4	1.0	0.786	top, arrop, galop, desarrop	
583	o	->	o	/	X leksj	__	n	[]	[]	4	4	1.0	0.786	refleksjon, seleksjon, koleksjon, aleksjon	
587	o	->	o	/	X m	__	r	[]	[]	4	4	1.0	0.786	enamor, demor, mor, konmemor	
617	o	->	o	/	X p	__	s	[]	[]	4	4	1.0	0.786	pos, repos, espos, despos	
737	o	->	o	/	X nt	__	n	[]	[]	4	4	1.0	0.786	enton, amonton, desenton, enbalenton	
756	o	->	o	/	X nf	__	 y	[]	[]	4	4	1.0	0.786	inform, konform, enfok, konfort	
776	o	->	o	/	X t	__	rn	[]	[]	4	4	1.0	0.786	torn, entorn, trastorn, kontorn	
814	o	->	o	/	X aksj	__	n	[]	[]	4	4	1.0	0.786	reaksjon, aksjon, fraksjon, kalefaksjon	
816	o	->	o	/	X l	__	g y	[]	[]	4	4	1.0	0.786	logr, djalog, katalog, malogr	
869	o	->	o	/	X l	__	x y	[]	[]	4	4	1.0	0.786	alox, aflox, eloxj, desalox	
889	o	->	o	/	X r	__	j	[]	[]	4	4	1.0	0.786	desarroj, enroj, arroj, embroj	
973	o	->	o	/	X r	__	p y	[]	[]	4	4	1.0	0.786	apropj, arrop, ekspropj, desarrop	
1026	o	->	o	/	X or	__	 y	[]	[]	4	4	1.0	0.786	koron, desmoron, alborot, alboros	
1055	o	->	o	/	a	__	r y	[]	[]	4	4	1.0	0.786	aorr, aork, aorm, aorn	
1154	o	->	o	/	X r	__	C	[]	[]	4	4	1.0	0.786	reproC, derroC, desabroC, abroC	
1405	o	->	o	/	X rsj	__	 y	[]	[]	4	4	1.0	0.786	proporsjon, sersjor, ekstorsjon, kontorsjon	
1433	o	->	o	/	X ab	__	n	[]	[]	4	4	1.0	0.786	abon, xabon, eslabon, eNxabon	
1493	o	->	o	/	X nd	__	 y	[]	[]	4	4	1.0	0.786	abandon, endos, kondon, endors	
1494	o	->	o	/	X d	__	s	[]	[]	4	4	1.0	0.786	ados, endos, embaldos, baldos	
1537	o	->	o	/	X lab	__	 y	[]	[]	4	4	1.0	0.786	elabor, kolabor, eslabon, labor	
1594	o	->	o	/	X b	__	s y	[]	[]	4	4	1.0	0.786	esbos, rebos, embosk, embos	
1611	o	->	o	/	rem	__	 y	[]	[]	4	4	1.0	0.786	remont, remos, remolk, remox	
1704	o	->	o	/	X ot	__	 y	[]	[]	4	4	1.0	0.786	otorg, aboton, apeloton, desaboton	
1959	o	->	o	/	X k	__	pj	[]	[]	4	4	1.0	0.786	kopj, fotokopj, akopj, serokopj	
2117	o	->	o	/	X sesj	__	n	[]	[]	4	4	1.0	0.786	obsesjon, posesjon, aposesjon, desaposesjon	
2305	o	->	o	/	X disj	__	n	[]	[]	4	4	1.0	0.786	kondisjon, akondisjon, adisjon, reakondisjon	
88	o	->	o	/	X p	__	 y	[]	[]	36	30	0.833	0.781	import, apoj, soport, iNkorpor, aport, komport, transport, pos, port, repos, despox, espos, deport, eksport, report, tapon, ebapor, empotr, apod	apost, pobl, despobl, porfj, repobl, empork
32	o	->	o	/	X 	__	 y	[]	[]	557	442	0.794	0.775	tom, form, logr, tok, abandon, probok, desarroj, kompr, kolok, import, apoj, jor, not, kort, funsjon, inform, kontrol, sobr, transform	eNkontr, kont, rekord, mostr, demostr, komprob, sol, son, akord, kost, prob, kolg, soñ, solt, konfj, fors, bol, aprob, akost
1196	o	->	o	/	X ap	__	 y	[]	[]	9	8	0.889	0.765	apoj, aport, tapon, ebapor, apod, apok, eNkapot, Capod	apost
146	o	->	o	/	X n	__	 y	[]	[]	13	11	0.846	0.747	not, nombr, ignor, anot, denot, enox, aminor, trasnoC, innob, konnot, pignor	renob, denost
482	o	->	o	/	X 	__	rn	[]	[]	13	11	0.846	0.747	adorn, torn, entorn, trastorn, soborn, aboCorn, orn, kontorn, desadorn, aorn, eksorn	akorn, deskorn
588	o	->	o	/	X em	__	 y	[]	[]	8	7	0.875	0.74	remont, demor, konmemor, remos, remolk, remox, tremol	demostr
1274	o	->	o	/	X 	__	d	[]	[]	8	7	0.875	0.74	akomod, akod, apod, iNkomod, enlod, Capod, desakomod	rod
1363	o	->	o	/	X mp	__	 y	[]	[]	8	7	0.875	0.74	import, komport, empotr, empolb, desempolb, ampoj, empoj	empork
165	o	->	o	/	X 	__	n y	[]	[]	139	121	0.871	0.723	abandon, funsjon, relasjon, proporsjon, mont, perdon, mensjon, reaksjon, afront, konst, impresjon, solusjon, kondisjon, refleksjon, okasjon, remont, traisjon, rason, emosjon	eNkontr, kont, son, konfj, abergons, reson, deskonfj, deskont, reeNkontr, tron, atron, desbergons, rekont, ason, konson, dison, retron, son
357	o	->	o	/	X lab	__	r	[]	[]	3	3	1.0	0.718	elabor, kolabor, labor	
359	o	->	o	/	X ab	__	r	[]	[]	3	3	1.0	0.718	elabor, kolabor, labor	
473	o	->	o	/	X m	__	nt	[]	[]	3	3	1.0	0.718	mont, remont, desmont	
568	o	->	o	/	X olusj	__	n	[]	[]	3	3	1.0	0.718	solusjon, ebolusjon, polusjon	
572	o	->	o	/	X fr	__	 y	[]	[]	3	3	1.0	0.718	afront, frot, konfront	
634	o	->	o	/	X j	__	r	[]	[]	3	3	1.0	0.718	jor, deterjor, sersjor	
653	o	->	o	/	X k	__	rt	[]	[]	3	3	1.0	0.718	kort, rekort, akort	
766	o	->	o	/	X fl	__	 y	[]	[]	3	3	1.0	0.718	flot, aflox, aflor	
767	o	->	o	/	X l	__	x	[]	[]	3	3	1.0	0.718	alox, aflox, desalox	
774	o	->	o	/	X spl	__	 y	[]	[]	3	3	1.0	0.718	eksplot, eksplor, desplom	
777	o	->	o	/	ent	__	 y	[]	[]	3	3	1.0	0.718	enton, entorn, entort	
840	o	->	o	/	X stj	__	n	[]	[]	3	3	1.0	0.718	kqstjon, xestjon, suxestjon	
972	o	->	o	/	arr	__	 y	[]	[]	3	3	1.0	0.718	arrox, arrop, arroj	
1062	o	->	o	/	X b	__	s	[]	[]	3	3	1.0	0.718	esbos, rebos, embos	
1076	o	->	o	/	X ib	__	 y	[]	[]	3	3	1.0	0.718	ekibok, atiborr, diborsj	
1124	o	->	o	/	enr	__	 y	[]	[]	3	3	1.0	0.718	enroj, enrosk, enrom	
1138	o	->	o	/	X t	__	k	[]	[]	3	3	1.0	0.718	tok, retok, trastok	
1264	o	->	o	/	X al	__	g y	[]	[]	3	3	1.0	0.718	djalog, katalog, malogr	
1284	o	->	o	/	X ent	__	n	[]	[]	3	3	1.0	0.718	enton, desenton, enbalenton	
1350	o	->	o	/	X d	__	b y	[]	[]	3	3	1.0	0.718	dobl, adob, redobl	
1369	o	->	o	/	X pl	__	r	[]	[]	3	3	1.0	0.718	eksplor, implor, deplor	
1399	o	->	o	/	X rr	__	t	[]	[]	3	3	1.0	0.718	derrot, abarrot, aporrot	
1415	o	->	o	/	X 	__	dj	[]	[]	3	3	1.0	0.718	odj, kustodj, parodj	
1456	o	->	o	/	X ilusj	__	n	[]	[]	3	3	1.0	0.718	ilusjon, desilusjon, disilusjon	
1475	o	->	o	/	X nf	__	r y	[]	[]	3	3	1.0	0.718	inform, konform, konfort	
1503	o	->	o	/	X kondisj	__	n	[]	[]	3	3	1.0	0.718	kondisjon, akondisjon, reakondisjon	
1505	o	->	o	/	X n	__	r	[]	[]	3	3	1.0	0.718	ignor, aminor, pignor	
1526	o	->	o	/	X s	__	sj	[]	[]	3	3	1.0	0.718	asosj, disosj, desasosj	
1570	o	->	o	/	X 	__	f	[]	[]	3	3	1.0	0.718	filosof, mof, estof	
1575	o	->	o	/	X 	__	Ng	[]	[]	3	3	1.0	0.718	proloNg, resoNg, aloNg	
1595	o	->	o	/	X 	__	sk	[]	[]	3	3	1.0	0.718	enrosk, embosk, amosk	
1602	o	->	o	/	X kom	__	d	[]	[]	3	3	1.0	0.718	akomod, iNkomod, desakomod	
1692	o	->	o	/	X ob	__	 y	[]	[]	3	3	1.0	0.718	probok, korrobor, soborn	
1739	o	->	o	/	X ntr	__	 y	[]	[]	3	3	1.0	0.718	kontrol, entroNk, entron	
1755	o	->	o	/	X orr	__	 y	[]	[]	3	3	1.0	0.718	emborron, prorrog, aporrot	
1808	o	->	o	/	X rd	__	n	[]	[]	3	3	1.0	0.718	perdon, akordon, galardon	
1828	o	->	o	/	X emb	__	ls	[]	[]	3	3	1.0	0.718	embols, desembols, reembols	
1885	o	->	o	/	X orsj	__	n	[]	[]	3	3	1.0	0.718	proporsjon, ekstorsjon, kontorsjon	
1994	o	->	o	/	X ot	__	n	[]	[]	3	3	1.0	0.718	aboton, apeloton, desaboton	
2016	o	->	o	/	X x	__	 y	[]	[]	3	3	1.0	0.718	mexor, desmexor, eNkaxon	
2019	o	->	o	/	X ok	__	 y	[]	[]	3	3	1.0	0.718	fotokopj, eNkokor, serokopj	
2062	o	->	o	/	X r	__	nt	[]	[]	3	3	1.0	0.718	afront, konfront, apront	
2069	o	->	o	/	at	__	 y	[]	[]	3	3	1.0	0.718	atont, ator, atoj	
2138	o	->	o	/	X p	__	j	[]	[]	3	3	1.0	0.718	apoj, ampoj, empoj	
2172	o	->	o	/	eNg	__	 y	[]	[]	3	3	1.0	0.718	eNgord, eNgolf, eNgom	
2240	o	->	o	/	X l	__	n y	[]	[]	3	3	1.0	0.718	eskalon, atolondr, entrereNglon	
2302	o	->	o	/	X abr	__	 y	[]	[]	3	3	1.0	0.718	desabroC, abroC, abrog	
2356	o	->	o	/	X ad	__	r y	[]	[]	3	3	1.0	0.718	adorn, ador, desadorn	
2386	o	->	o	/	X nt	__	r y	[]	[]	3	3	1.0	0.718	entorn, kontorn, entort	
2416	o	->	o	/	X bal	__	r	[]	[]	3	3	1.0	0.718	balor, subalor, abalor	
2486	o	->	o	/	X posesj	__	n	[]	[]	3	3	1.0	0.718	posesjon, aposesjon, desaposesjon	
2578	o	->	o	/	X b	__	j	[]	[]	3	3	1.0	0.718	aboj, konboj, desaboj	
2752	o	->	o	/	X s	__	r	[]	[]	3	3	1.0	0.718	asesor, atesor, eksor	
2753	o	->	o	/	eks	__	r y	[]	[]	3	3	1.0	0.718	eksort, eksor, eksorn	
2779	o	->	o	/	X p	__	l y	[]	[]	3	3	1.0	0.718	empolb, desempolb, interpol	
241	o	->	o	/	X m	__	 y	[]	[]	31	24	0.774	0.714	mont, enamor, akomod, remont, demor, mox, desmont, mor, konmemor, testimonj, mof, iNkomod, remos, remolk, inmol, remox, mond, amold, desmoC	mostr, demostr, almors, mobl, amol, amobl, desamobl
53	o	->	o	/	X 	__	k	[]	[]	23	18	0.783	0.711	tok, probok, kolok, ekibok, konbok, ebok, Cok, desembok, inbok, enfok, sofok, retok, trastok, dislok, embok, rebok, apok, resiprok	trok, derrok, klok, aklok, trastrok
641	o	->	o	/	X sp	__	 y	[]	[]	7	6	0.857	0.706	transport, despox, espos, eksport, espoNx, despos	despobl
118	o	->	o	/	X r	__	 y	[]	[]	73	54	0.74	0.701	desarroj, kontrol, arrox, rob, ros, brot, afront, derrot, destros, interrog, reproC, frot, koron, rond, apropj, desmoron, enroj, drog, arrop	komprob, prob, aprob, rod, rog, rosj, trok, derrok, eNgros, tron, atron, reprob, ipertrofj, desaprob, deseNgros, improb, prob, retron, trastrok
180	o	->	o	/	X p	__	r y	[]	[]	14	12	0.857	0.69	import, soport, iNkorpor, aport, komport, transport, port, deport, eksport, report, ebapor, port	porfj, empork
609	o	->	o	/	X r	__	n y	[]	[]	13	10	0.769	0.666	afront, koron, rond, desmoron, emborron, destron, konfront, apront, entron, rons	tron, atron, retron
50	o	->	o	/	t	__	 y	[]	[]	6	5	0.833	0.663	tom, tok, torn, top, torr	tost
395	o	->	o	/	X 	__	sj	[]	[]	6	5	0.833	0.663	asosj, negosj, disosj, osj, desasosj	rosj
906	o	->	o	/	X r	__	g	[]	[]	6	5	0.833	0.663	interrog, drog, derog, prorrog, abrog	rog
2318	o	->	o	/	X m	__	r y	[]	[]	6	5	0.833	0.663	enamor, demor, mor, konmemor, amorr	almors
755	o	->	o	/	X f	__	 y	[]	[]	22	16	0.727	0.651	form, inform, transform, konform, forx, uniform, enfok, forr, sofok, deform, perfor, reform, afor, konfort, alfombr, aforr	fors, esfors, refors, desafor, afoj, alfors
742	o	->	o	/	X f	__	r y	[]	[]	18	13	0.722	0.637	form, inform, transform, konform, forx, uniform, forr, deform, perfor, reform, afor, konfort, aforr	fors, esfors, refors, desafor, alfors
292	o	->	o	/	X g	__	 y	[]	[]	17	12	0.706	0.617	gos, agot, negosj, eNgord, pregon, agolp, agobj, akoNgox, agost, eNgolf, aNgost, eNgom	abergons, degoj, desbergons, regold, agor
230	o	->	o	/	ap	__	 y	[]	[]	5	4	0.8	0.607	apoj, aport, apod, apok	apost
485	o	->	o	/	X err	__	 y	[]	[]	5	4	0.8	0.607	derrot, interrog, derroC, aserrox	derrok
758	o	->	o	/	X esp	__	 y	[]	[]	5	4	0.8	0.607	despox, espos, espoNx, despos	despobl
1037	o	->	o	/	ag	__	 y	[]	[]	5	4	0.8	0.607	agot, agolp, agobj, agost	agor
1670	o	->	o	/	X as	__	n	[]	[]	5	4	0.8	0.607	rason, deskorason, blason, sason	ason
1700	o	->	o	/	X gl	__	 y	[]	[]	5	4	0.8	0.607	eNglob, banaglorj, glos, entrereNglon	glorj
1772	o	->	o	/	X emp	__	 y	[]	[]	5	4	0.8	0.607	empotr, empolb, desempolb, empoj	empork
1786	o	->	o	/	X m	__	l y	[]	[]	5	4	0.8	0.607	remolk, inmol, amold, tremol	amol
2097	o	->	o	/	X et	__	 y	[]	[]	5	4	0.8	0.607	retok, retos, deton, retoñ	retost
235	o	->	o	/	r	__	 y	[]	[]	10	7	0.7	0.579	rob, ros, rond, roNk, rot, rons, rosn	rod, rog, rosj
375	o	->	o	/	X 	__	nt	[]	[]	10	7	0.7	0.579	mont, afront, remont, desmont, konfront, atont, apront	kont, deskont, rekont
365	o	->	o	/	X 	__	s y	[]	[]	49	34	0.694	0.574	gos, ros, asosj, negosj, pos, destros, repos, akos, esbos, espos, rebos, sojos, enrosk, ados, retos, alboros, endos, disosj, embosk	mostr, demostr, kost, akost, apost, rekost, os, rosj, eNgros, tost, denost, eNkost, deseNgros, desos, retost
139	o	->	o	/	n	__	 y	[]	[]	2	2	1.0	0.57	not, nombr	
261	o	->	o	/	X nf	__	rm	[]	[]	2	2	1.0	0.57	inform, konform	
273	o	->	o	/	X mp	__	rt	[]	[]	2	2	1.0	0.57	import, komport	
382	o	->	o	/	as	__	m y	[]	[]	2	2	1.0	0.57	asom, asombr	
535	o	->	o	/	ad	__	r y	[]	[]	2	2	1.0	0.57	adorn, ador	
577	o	->	o	/	X k	__	br	[]	[]	2	2	1.0	0.57	kobr, rekobr	
626	o	->	o	/	ekspl	__	 y	[]	[]	2	2	1.0	0.57	eksplot, eksplor	
630	o	->	o	/	r	__	n y	[]	[]	2	2	1.0	0.57	rond, rons	
690	o	->	o	/	X presj	__	n	[]	[]	2	2	1.0	0.57	impresjon, presjon	
705	o	->	o	/	X nb	__	k	[]	[]	2	2	1.0	0.57	konbok, inbok	
745	o	->	o	/	X esb	__	 y	[]	[]	2	2	1.0	0.57	desbord, esbos	
769	o	->	o	/	b	__	r y	[]	[]	2	2	1.0	0.57	borr, bord	
829	o	->	o	/	X or	__	n	[]	[]	2	2	1.0	0.57	koron, desmoron	
834	o	->	o	/	afl	__	 y	[]	[]	2	2	1.0	0.57	aflox, aflor	
838	o	->	o	/	X feksj	__	n	[]	[]	2	2	1.0	0.57	perfeksjon, konfeksjon	
860	o	->	o	/	X f	__	k	[]	[]	2	2	1.0	0.57	enfok, sofok	
878	o	->	o	/	X ensj	__	n	[]	[]	2	2	1.0	0.57	mensjon, subensjon	
902	o	->	o	/	X rob	__	 y	[]	[]	2	2	1.0	0.57	probok, korrobor	
951	o	->	o	/	X d	__	r	[]	[]	2	2	1.0	0.57	ador, dor	
968	o	->	o	/	X 	__	pl	[]	[]	2	2	1.0	0.57	sopl, akopl	
1005	o	->	o	/	X a	__	g	[]	[]	2	2	1.0	0.57	aog, desaog	
1029	o	->	o	/	X st	__	r y	[]	[]	2	2	1.0	0.57	trastorn, estorb	
1043	o	->	o	/	X sp	__	rt	[]	[]	2	2	1.0	0.57	transport, eksport	
1065	o	->	o	/	s	__	b y	[]	[]	2	2	1.0	0.57	sobr, sob	
1071	o	->	o	/	ab	__	r y	[]	[]	2	2	1.0	0.57	abord, abort	
1077	o	->	o	/	X b	__	rr	[]	[]	2	2	1.0	0.57	borr, atiborr	
1094	o	->	o	/	X al	__	g	[]	[]	2	2	1.0	0.57	djalog, katalog	
1095	o	->	o	/	X l	__	g	[]	[]	2	2	1.0	0.57	djalog, katalog	
1102	o	->	o	/	X al	__	x	[]	[]	2	2	1.0	0.57	alox, desalox	
1116	o	->	o	/	X arr	__	j	[]	[]	2	2	1.0	0.57	desarroj, arroj	
1130	o	->	o	/	X ef	__	rm	[]	[]	2	2	1.0	0.57	deform, reform	
1136	o	->	o	/	X ep	__	rt	[]	[]	2	2	1.0	0.57	deport, report	
1205	o	->	o	/	X em	__	r	[]	[]	2	2	1.0	0.57	demor, konmemor	
1214	o	->	o	/	X p	__	r	[]	[]	2	2	1.0	0.57	iNkorpor, ebapor	
1215	o	->	o	/	X ap	__	r y	[]	[]	2	2	1.0	0.57	aport, ebapor	
1231	o	->	o	/	X ib	__	r y	[]	[]	2	2	1.0	0.57	atiborr, diborsj	
1236	o	->	o	/	X 	__	rb	[]	[]	2	2	1.0	0.57	estorb, eNkorb	
1263	o	->	o	/	X l	__	gr	[]	[]	2	2	1.0	0.57	logr, malogr	
1287	o	->	o	/	X osj	__	n	[]	[]	2	2	1.0	0.57	emosjon, erosjon	
1299	o	->	o	/	X abr	__	C	[]	[]	2	2	1.0	0.57	desabroC, abroC	
1331	o	->	o	/	X Nk	__	n	[]	[]	2	2	1.0	0.57	arriNkon, eNkon	
1332	o	->	o	/	X k	__	n	[]	[]	2	2	1.0	0.57	arriNkon, eNkon	
1386	o	->	o	/	X es	__	r	[]	[]	2	2	1.0	0.57	asesor, atesor	
1440	o	->	o	/	trast	__	 y	[]	[]	2	2	1.0	0.57	trastorn, trastok	
1468	o	->	o	/	albor	__	 y	[]	[]	2	2	1.0	0.57	alborot, alboros	
1476	o	->	o	/	konf	__	r y	[]	[]	2	2	1.0	0.57	konform, konfort	
1539	o	->	o	/	esp	__	 y	[]	[]	2	2	1.0	0.57	espos, espoNx	
1567	o	->	o	/	X pr	__	pj	[]	[]	2	2	1.0	0.57	apropj, ekspropj	
1589	o	->	o	/	X ras	__	n	[]	[]	2	2	1.0	0.57	rason, deskorason	
1591	o	->	o	/	destr	__	 y	[]	[]	2	2	1.0	0.57	destros, destron	
1607	o	->	o	/	X d	__	bl	[]	[]	2	2	1.0	0.57	dobl, redobl	
1634	o	->	o	/	X fr	__	nt	[]	[]	2	2	1.0	0.57	afront, konfront	
1653	o	->	o	/	t	__	r y	[]	[]	2	2	1.0	0.57	torn, torr	
1681	o	->	o	/	emb	__	s y	[]	[]	2	2	1.0	0.57	embosk, embos	
1693	o	->	o	/	X ob	__	r y	[]	[]	2	2	1.0	0.57	korrobor, soborn	
1716	o	->	o	/	X pl	__	m	[]	[]	2	2	1.0	0.57	desplom, aplom	
1737	o	->	o	/	X xab	__	n	[]	[]	2	2	1.0	0.57	xabon, eNxabon	
1740	o	->	o	/	X r	__	Nk	[]	[]	2	2	1.0	0.57	roNk, entroNk	
1754	o	->	o	/	X rr	__	g	[]	[]	2	2	1.0	0.57	interrog, prorrog	
1770	o	->	o	/	X relasj	__	n	[]	[]	2	2	1.0	0.57	relasjon, korrelasjon	
1773	o	->	o	/	X emp	__	lb	[]	[]	2	2	1.0	0.57	empolb, desempolb	
1796	o	->	o	/	X m	__	x	[]	[]	2	2	1.0	0.57	mox, remox	
1804	o	->	o	/	X s	__	br	[]	[]	2	2	1.0	0.57	sobr, sosobr	
1806	o	->	o	/	X os	__	 y	[]	[]	2	2	1.0	0.57	filosof, sosobr	
1812	o	->	o	/	X bisj	__	n	[]	[]	2	2	1.0	0.57	ambisjon, aprobisjon	
1820	o	->	o	/	k	__	m y	[]	[]	2	2	1.0	0.57	kompr, komb	
1827	o	->	o	/	desemb	__	 y	[]	[]	2	2	1.0	0.57	desembok, desembols	
1830	o	->	o	/	X mex	__	r	[]	[]	2	2	1.0	0.57	mexor, desmexor	
1832	o	->	o	/	X emb	__	k	[]	[]	2	2	1.0	0.57	desembok, embok	
1868	o	->	o	/	X 	__		[]	[]	2	2	1.0	0.57	kro, lo	
1878	o	->	o	/	X esp	__	s	[]	[]	2	2	1.0	0.57	espos, despos	
1883	o	->	o	/	X s	__	rt	[]	[]	2	2	1.0	0.57	absort, eksort	
1891	o	->	o	/	m	__	n y	[]	[]	2	2	1.0	0.57	mont, mond	
1899	o	->	o	/	X eb	__	k	[]	[]	2	2	1.0	0.57	ebok, rebok	
1903	o	->	o	/	X C	__	 y	[]	[]	2	2	1.0	0.57	Cok, aboCorn	
1928	o	->	o	/	X nn	__	 y	[]	[]	2	2	1.0	0.57	innob, konnot	
1930	o	->	o	/	X torsj	__	n	[]	[]	2	2	1.0	0.57	ekstorsjon, kontorsjon	
1933	o	->	o	/	X arb	__	 y	[]	[]	2	2	1.0	0.57	barbot, desarbol	
1953	o	->	o	/	X j	__	s	[]	[]	2	2	1.0	0.57	sojos, endjos	
1966	o	->	o	/	l	__	 y	[]	[]	2	2	1.0	0.57	logr, lo	
2008	o	->	o	/	X nd	__	n	[]	[]	2	2	1.0	0.57	abandon, kondon	
2041	o	->	o	/	X xestj	__	n	[]	[]	2	2	1.0	0.57	xestjon, suxestjon	
2056	o	->	o	/	X od	__	 y	[]	[]	2	2	1.0	0.57	amodorr, algodon	
2068	o	->	o	/	X t	__	r	[]	[]	2	2	1.0	0.57	ator, ekspektor	
2077	o	->	o	/	X abot	__	n	[]	[]	2	2	1.0	0.57	aboton, desaboton	
2090	o	->	o	/	desm	__	 y	[]	[]	2	2	1.0	0.57	desmont, desmoC	
2101	o	->	o	/	embr	__	 y	[]	[]	2	2	1.0	0.57	embroj, embrom	
2104	o	->	o	/	X p	__	t y	[]	[]	2	2	1.0	0.57	empotr, eNkapot	
2209	o	->	o	/	X k	__	t	[]	[]	2	2	1.0	0.57	akot, trikot	
2215	o	->	o	/	ak	__	p y	[]	[]	2	2	1.0	0.57	akopl, akopj	
2237	o	->	o	/	X g	__	st	[]	[]	2	2	1.0	0.57	agost, aNgost	
2242	o	->	o	/	X b	__	g	[]	[]	2	2	1.0	0.57	abog, bog	
2259	o	->	o	/	desarr	__	 y	[]	[]	2	2	1.0	0.57	desarroj, desarrop	
2260	o	->	o	/	X arr	__	p	[]	[]	2	2	1.0	0.57	arrop, desarrop	
